timestamp,elapsed_ms,session,event,payload
2026-09-09T23:16:34,62,lesson-kjpd-1788975994,tts,"{""turn"": 0, ""words"": 17, ""synth_ms"": 2, ""audio_s"": 5.61, ""cached"": true, ""first_audio_ms"": null, ""timestamps"": false, ""transport"": ""ws""}"
2026-09-09T23:16:34,62,lesson-kjpd-1788975994,speak,"{""turn"": 0, ""kind"": ""system"", ""lang"": ""en"", ""text"": ""Hi! Which language shall we study in? You can say it, or tap it on the screen.""}"
2026-09-09T23:16:38,3894,lesson-kjpd-1788975994,stop,"{""cursor"": {""turn_id"": 0, ""words_heard"": 12, ""text"": ""Hi! Which language shall we study in? You can say it, or tap it on the screen."", ""was_last_item"": true, ""playing"": true}}"
2026-09-09T23:16:38,3903,lesson-kjpd-1788975994,vad_start,"{""turn"": 1, ""stop_ms"": 8.88, ""cursor"": {""turn_id"": 0, ""words_heard"": 12, ""text"": ""Hi! Which language shall we study in? You can say it, or tap it on the screen."", ""was_last_item"": true, ""playing"": true}}"
2026-09-09T23:16:39,5193,lesson-kjpd-1788975994,transcript,"{""text"": ""Hindi."", ""lang"": ""en"", ""prob"": 1.0, ""vad_s"": 0.83, ""whisper_ms"": 460, ""cursor"": {""word_index"": 12}, ""since_vad_start_ms"": 1299}"
2026-09-09T23:16:39,5198,lesson-kjpd-1788975994,interrupt,"{""turn"": 1, ""cursor"": null, ""heard"": ""You can say it, or tap it on the screen.""}"
2026-09-09T23:16:42,8482,lesson-kjpd-1788975994,tts,"{""turn"": 1, ""words"": 11, ""synth_ms"": 3277, ""audio_s"": 4.49, ""cached"": false, ""first_audio_ms"": 452, ""timestamps"": false, ""transport"": ""ws"", ""streamed"": true, ""status"": ""done""}"
2026-09-09T23:16:42,8483,lesson-kjpd-1788975994,speak,"{""turn"": 1, ""kind"": ""system"", ""lang"": ""hi"", ""text"": ""बहुत अच्छा। आज हम क्या पढ़ें, और किस कक्षा के लिए?""}"
2026-09-09T23:16:42,8490,lesson-kjpd-1788975994,graph_turn_done,"{""ms"": 3296, ""intent"": null, ""turn"": 1}"
2026-09-09T23:16:46,11880,lesson-kjpd-1788975994,playback_confirmed,"{""turn"": 1}"
2026-09-09T23:16:54,20824,lesson-kjpd-1788975994,stop,"{""cursor"": {""turn_id"": 1, ""words_heard"": null, ""text"": """", ""was_last_item"": true, ""playing"": false}}"
2026-09-09T23:16:54,20825,lesson-kjpd-1788975994,vad_start,"{""turn"": 2, ""stop_ms"": 0.13, ""cursor"": {""turn_id"": 1, ""words_heard"": null, ""text"": """", ""was_last_item"": true, ""playing"": false}}"
2026-09-09T23:16:59,25805,lesson-kjpd-1788975994,transcript,"{""text"": ""Mujhe reproduction padhna hai kaksha 11 ke liye."", ""lang"": ""hi"", ""prob"": 1.0, ""vad_s"": 4.19, ""whisper_ms"": 785, ""cursor"": null, ""since_vad_start_ms"": 4981}"
2026-09-09T23:16:59,25810,lesson-kjpd-1788975994,interrupt,"{""turn"": 2, ""cursor"": null, ""heard"": ""आज हम क्या पढ़ें, और किस कक्षा के लिए?""}"
2026-09-09T23:17:01,27793,lesson-kjpd-1788975994,tts,"{""turn"": 2, ""words"": 14, ""synth_ms"": 1981, ""audio_s"": 4.97, ""cached"": false, ""first_audio_ms"": 536, ""timestamps"": false, ""transport"": ""ws"", ""streamed"": true, ""status"": ""done""}"
2026-09-09T23:17:01,27794,lesson-kjpd-1788975994,speak,"{""turn"": 2, ""kind"": ""system"", ""lang"": ""hi"", ""text"": ""ठीक है, reproduction, class 11। एक पल दीजिए, मैं पाठ तैयार कर रही हूँ।""}"
2026-09-09T23:17:06,32017,lesson-kjpd-1788975994,ingest,"{""sections"": 10, ""lesson_sections"": 8, ""beats"": 27, ""upfront"": 1, ""background"": 7}"
2026-09-09T23:17:07,32877,lesson-kjpd-1788975994,localized_bg,"{""section"": ""s7"", ""ok"": true}"
2026-09-09T23:17:07,32921,lesson-kjpd-1788975994,tts,"{""turn"": 2, ""words"": 2, ""synth_ms"": 1530, ""audio_s"": 1.43, ""cached"": false, ""first_audio_ms"": null, ""timestamps"": false, ""transport"": ""ws"", ""streamed"": true, ""status"": ""truncated""}"
2026-09-09T23:17:07,32921,lesson-kjpd-1788975994,filler,"{""turn"": 2, ""text"": ""ज़रा रुकिए...""}"
2026-09-09T23:17:08,34702,lesson-kjpd-1788975994,localized_bg,"{""section"": ""s6"", ""ok"": true}"
2026-09-09T23:17:10,35869,lesson-kjpd-1788975994,localized_bg,"{""section"": ""s5"", ""ok"": true}"
