timestamp,elapsed_ms,session,event,payload
2026-09-09T02:47:39,5760,dryrun-1788902254,tts,"{""turn"": 0, ""words"": 17, ""synth_ms"": 1, ""audio_s"": 5.13, ""cached"": true, ""first_audio_ms"": null, ""timestamps"": true, ""transport"": ""ws""}"
2026-09-09T02:47:39,5760,dryrun-1788902254,speak,"{""turn"": 0, ""kind"": ""system"", ""lang"": ""en"", ""text"": ""Hi! Which language shall we study in? You can say it, or tap it on the screen.""}"
2026-09-09T02:47:41,7113,dryrun-1788902254,stop,"{""cursor"": {""turn_id"": 0, ""words_heard"": 15, ""text"": ""Hi! Which language shall we study in? You can say it, or tap it on the screen."", ""was_last_item"": true, ""playing"": true}}"
2026-09-09T02:47:41,7113,dryrun-1788902254,vad_start,"{""turn"": 1, ""stop_ms"": 0.24, ""cursor"": {""turn_id"": 0, ""words_heard"": 15, ""text"": ""Hi! Which language shall we study in? You can say it, or tap it on the screen."", ""was_last_item"": true, ""playing"": true}}"
2026-09-09T02:47:43,9050,dryrun-1788902254,transcript,"{""text"": ""English."", ""lang"": ""en"", ""prob"": 1.0, ""vad_s"": 1.6, ""whisper_ms"": 320, ""cursor"": {""word_index"": 15}, ""since_vad_start_ms"": 1937}"
2026-09-09T02:47:43,9057,dryrun-1788902254,interrupt,"{""turn"": 1, ""cursor"": null, ""heard"": ""You can say it, or tap it on the screen.""}"
2026-09-09T02:47:43,9066,dryrun-1788902254,tts,"{""turn"": 1, ""words"": 13, ""synth_ms"": 2, ""audio_s"": 5.37, ""cached"": true, ""first_audio_ms"": null, ""timestamps"": true, ""transport"": ""ws""}"
2026-09-09T02:47:43,9066,dryrun-1788902254,speak,"{""turn"": 1, ""kind"": ""system"", ""lang"": ""en"", ""text"": ""Lovely. So, what are we learning today, and which class is it for?""}"
2026-09-09T02:47:43,9071,dryrun-1788902254,graph_turn_done,"{""ms"": 20, ""intent"": null, ""turn"": 1}"
2026-09-09T02:47:45,10927,dryrun-1788902254,playback_confirmed,"{""turn"": 1}"
2026-09-09T02:47:47,13670,dryrun-1788902254,stop,"{""cursor"": {""turn_id"": 1, ""words_heard"": null, ""text"": """", ""was_last_item"": true, ""playing"": false}}"
2026-09-09T02:47:47,13670,dryrun-1788902254,vad_start,"{""turn"": 2, ""stop_ms"": 0.13, ""cursor"": {""turn_id"": 1, ""words_heard"": null, ""text"": """", ""was_last_item"": true, ""playing"": false}}"
2026-09-09T02:47:52,18271,dryrun-1788902254,transcript,"{""text"": ""The heart for class 6."", ""lang"": ""en"", ""prob"": 1.0, ""vad_s"": 4.03, ""whisper_ms"": 571, ""cursor"": null, ""since_vad_start_ms"": 4601}"
2026-09-09T02:47:52,18279,dryrun-1788902254,interrupt,"{""turn"": 2, ""cursor"": null, ""heard"": ""So, what are we learning today, and which class is it for?""}"
2026-09-09T02:47:52,18332,dryrun-1788902254,tts,"{""turn"": 2, ""words"": 15, ""synth_ms"": 50, ""audio_s"": 4.73, ""cached"": true, ""first_audio_ms"": null, ""timestamps"": true, ""transport"": ""ws""}"
2026-09-09T02:47:52,18332,dryrun-1788902254,speak,"{""turn"": 2, ""kind"": ""system"", ""lang"": ""en"", ""text"": ""Okay, The heart, class 6. Give me a moment while I get the lesson ready.""}"
2026-09-09T02:47:56,22558,dryrun-1788902254,stop,"{""cursor"": {""turn_id"": 2, ""words_heard"": null, ""text"": """", ""was_last_item"": true, ""playing"": false}}"
2026-09-09T02:47:56,22558,dryrun-1788902254,vad_start,"{""turn"": 3, ""stop_ms"": 0.24, ""cursor"": {""turn_id"": 2, ""words_heard"": null, ""text"": """", ""was_last_item"": true, ""playing"": false}}"
2026-09-09T02:47:59,25415,dryrun-1788902254,transcript,"{""text"": ""Wait, what does that mean?"", ""lang"": ""en"", ""prob"": 1.0, ""vad_s"": 2.35, ""whisper_ms"": 508, ""cursor"": null, ""since_vad_start_ms"": 2856}"
2026-09-09T02:48:01,26985,dryrun-1788902254,ingest,"{""sections"": 47, ""lesson_sections"": 8, ""beats"": 30, ""upfront"": 1, ""background"": 3}"
2026-09-09T02:48:01,26988,dryrun-1788902254,fence_drop,"{""born"": 2, ""live"": 3, ""kind"": ""lesson"", ""text"": ""Okay, all set. Today's lesson is Heart. Stop me whenever you have a question. Th""}"
2026-09-09T02:48:01,26995,dryrun-1788902254,graph_turn_done,"{""ms"": 8722, ""intent"": null, ""turn"": 2}"
2026-09-09T02:48:01,26999,dryrun-1788902254,interrupt,"{""turn"": 3, ""cursor"": null, ""heard"": ""Give me a moment while I get the lesson ready.""}"
2026-09-09T02:48:01,27000,dryrun-1788902254,intent,"{""intent"": ""explain"", ""user_utterance"": ""Wait, what does that mean?"", ""clarify_count"": 0}"
2026-09-09T02:48:03,28989,dryrun-1788902254,localized_bg,"{""section"": ""s1"", ""ok"": true}"
